,particle_id,hit num1,hit num2,hit num3,hit num4,hit num5,hit num6,hit num7,hit num8,hit num9,hit num10,hit num11,hit num12,hit num13,hit num14,hit num15,hit num16,hit num17,hit num18,hit num19
11,1.8466194709282816e+17,"[-56.1735, -4.49618, -1502.5]","[-48.7361, -4.36224, -1302.5]","[-48.5715, -4.38495, -1298.0]","[-48.5775, -4.37714, -1297.5]","[-41.2667, -4.17562, -1102.5]","[-41.0992, -4.18506, -1098.0]","[-41.0822, -4.16456, -1097.5]","[-36.0196, -3.91313, -962.5]","[-35.8454, -3.90073, -958.0]","[-35.7905, -3.92902, -957.5]","[-30.7445, -3.54812, -822.5]","[-30.5486, -3.55465, -818.0]","[-30.5445, -3.53941, -817.5]",,,,,,
12,5.31435819865473e+17,"[-62.9154, -12.7506, -1502.5]","[-62.7111, -12.716, -1498.0]","[-54.4624, -11.1825, -1302.5]","[-54.2923, -11.1576, -1298.0]","[-46.0125, -9.57449, -1102.5]","[-45.8305, -9.53743, -1098.0]","[-40.1202, -8.44884, -962.5]","[-39.9477, -8.3822, -958.0]","[-40.0994, -8.4106, -962.0]","[-34.231, -7.28318, -822.5]","[-34.0595, -7.22568, -818.0]","[-34.1903, -7.26183, -822.0]",,,,,,,
13,1.711382289490903e+17,"[-67.8151, -6.41549, -1502.5]","[-58.484, -6.6842, -1302.5]","[-58.3168, -6.67317, -1298.0]","[-49.1929, -6.60499, -1102.5]","[-49.007, -6.59774, -1098.0]","[-42.828, -6.30468, -962.5]","[-42.6167, -6.29768, -958.0]","[-36.4874, -5.85582, -822.5]","[-36.2996, -5.8609, -818.0]","[-31.1119, -5.33245, -702.5]","[-30.8745, -5.32977, -698.0]","[-30.8781, -5.31873, -697.5]",,,,,,,
14,1.1709462110378394e+17,"[-62.2427, -5.52554, -1502.5]","[-54.0712, -4.68181, -1302.5]","[-53.88, -4.68241, -1298.0]","[-45.8397, -3.88352, -1102.5]","[-45.6775, -3.89583, -1098.0]","[-45.6588, -3.85453, -1097.5]","[-40.0753, -3.37969, -962.5]","[-39.9149, -3.3351, -958.0]","[-39.874, -3.35687, -957.5]","[-34.3417, -2.82813, -822.5]","[-34.1375, -2.82222, -818.0]","[-34.1223, -2.80645, -817.5]",,,,,,,
15,8.061526483560038e+17,"[-56.3141, 0.157135, -1502.5]","[-56.1705, 0.232806, -1497.5]","[-50.0602, 3.85922, -1302.5]","[-50.027, 3.86448, -1302.0]","[-49.8969, 3.95205, -1297.5]","[-43.6623, 7.48466, -1102.0]","[-43.5189, 7.56277, -1097.5]","[-39.0085, 10.0153, -958.0]","[-39.1399, 9.93658, -962.0]","[-38.9929, 10.0152, -957.5]",,,,,,,,,
16,5.3142654273611366e+17,"[-91.6735, -9.39658, -1502.5]","[-79.3495, -8.97837, -1302.5]","[-67.0627, -8.36246, -1102.5]","[-66.7754, -8.34394, -1098.0]","[-58.5137, -7.73979, -962.5]","[-58.238, -7.73409, -958.0]","[-49.9289, -7.014, -822.5]","[-49.6208, -7.00221, -818.0]","[-42.5581, -6.28344, -702.5]","[-42.2769, -6.26751, -698.0]","[-36.4549, -5.55233, -602.5]","[-36.2001, -5.52849, -598.0]","[-36.1403, -5.50644, -597.5]",,,,,,
17,5.810042092273009e+17,"[-67.6406, -5.04758, -1502.5]","[-58.6527, -4.54083, -1302.5]","[-49.7247, -3.98865, -1102.5]","[-49.532, -3.9985, -1098.0]","[-49.5073, -4.00304, -1097.5]","[-43.4363, -3.59405, -962.5]","[-43.2704, -3.57504, -958.0]","[-43.2188, -3.54502, -957.5]","[-37.2118, -3.10417, -822.5]","[-36.9839, -3.09421, -818.0]","[-36.9653, -3.08424, -817.5]","[-31.8245, -2.73034, -702.5]","[-31.6142, -2.73063, -698.0]","[-31.5753, -2.70597, -697.5]",,,,,
18,5.4495699538857165e+17,"[-100.232, -4.60332, -1502.5]","[-86.7173, -5.69632, -1302.5]","[-73.203, -6.48844, -1102.5]","[-63.7944, -6.6006, -962.5]","[-54.3265, -6.45731, -822.5]","[-54.0073, -6.40986, -818.0]","[-46.2641, -6.07356, -702.5]","[-45.9678, -6.07379, -698.0]","[-39.6069, -5.64994, -602.5]","[-39.2999, -5.65566, -598.0]",,,,,,,,,
19,4521741569228800.0,"[-60.4014, 1.18963, -1502.5]","[-60.2131, 1.20297, -1497.5]","[-52.4436, 1.16391, -1302.5]","[-52.2206, 1.1758, -1297.5]","[-44.4819, 1.08835, -1102.5]","[-44.2532, 1.10046, -1097.5]","[-38.8911, 1.02681, -962.5]","[-38.8503, 1.02269, -962.0]","[-38.6742, 1.01246, -957.5]","[-33.2963, 0.915421, -822.5]","[-33.2647, 0.915793, -822.0]","[-33.0951, 0.924463, -817.5]",,,,,,,
20,5.044109235663667e+17,"[-55.0887, 2.51053, -1502.5]","[-54.8735, 2.488, -1497.5]","[-47.7347, 2.13636, -1302.5]","[-47.559, 2.11295, -1297.5]","[-40.4197, 1.80929, -1102.5]","[-40.3978, 1.80557, -1102.0]","[-40.2494, 1.78844, -1097.5]","[-35.3218, 1.55849, -962.5]","[-35.2885, 1.55592, -962.0]","[-35.1346, 1.53637, -957.5]",,,,,,,,,
21,7.475995997278044e+17,"[-49.9735, 0.605995, -1502.5]","[-50.3319, 0.575767, -1497.5]","[-64.4253, 0.572012, -1302.5]","[-64.7783, 0.559169, -1297.5]","[-78.9098, 0.535462, -1102.5]","[-78.8844, 0.549673, -1097.5]","[-69.1474, 0.551456, -962.5]","[-68.7866, 0.523548, -957.5]","[-58.9928, 0.498013, -822.5]","[-58.63, 0.526684, -817.5]","[-50.3257, 0.477962, -702.5]","[-49.9567, 0.496083, -697.5]","[-43.0859, 0.445894, -602.5]","[-42.7262, 0.428581, -597.5]",,,,,
22,2.252095307435213e+16,"[-59.7407, 3.54874, -1502.5]","[-59.5201, 3.55586, -1497.5]","[-51.7111, 3.32805, -1302.5]","[-51.5259, 3.32793, -1297.5]","[-43.7298, 3.00326, -1102.5]","[-43.6956, 3.00866, -1102.0]","[-43.5394, 3.00031, -1097.5]","[-38.1272, 2.79218, -962.5]","[-38.0855, 2.7628, -962.0]","[-37.9161, 2.75837, -957.5]","[-32.4993, 2.48278, -822.5]","[-32.485, 2.4769, -822.0]","[-32.2967, 2.46657, -817.5]",,,,,,
23,7.65616197260542e+17,"[-132.503, -13.7591, -1502.0]","[-132.146, -13.8142, -1498.0]","[-114.425, -15.2296, -1298.0]","[-96.9904, -15.6831, -1102.5]","[-96.5963, -15.6576, -1098.0]","[-84.1747, -15.3493, -958.0]","[-71.884, -14.5068, -818.0]","[-61.294, -13.5584, -698.0]","[-52.8867, -12.5632, -602.5]","[-52.4901, -12.5246, -598.0]","[-262.582, 21.7045, -2945.5]",,,,,,,,
24,1.8466366507974656e+17,"[-146.215, 0.272554, -1502.0]","[-145.827, 0.21002, -1498.0]","[-126.713, -1.02813, -1302.0]","[-126.32, -1.09229, -1298.0]","[-107.262, -1.88074, -1102.0]","[-106.873, -1.89124, -1098.0]","[-93.6584, -2.23023, -962.5]","[-80.0317, -2.4618, -822.5]","[-68.3392, -2.49452, -702.5]","[-67.8365, -2.46019, -697.5]","[-58.5931, -2.42965, -602.5]","[-58.1196, -2.42246, -597.5]","[-288.0, 18.6973, -2945.5]","[-248.697, 12.4415, -2545.5]",,,,,
25,6.800507592780022e+17,"[-144.071, -10.7902, -1502.0]","[-124.32, -11.4287, -1302.0]","[-123.918, -11.4549, -1298.0]","[-104.64, -11.5199, -1102.0]","[-91.0836, -11.1557, -962.5]","[-77.5211, -10.4896, -822.5]","[-77.079, -10.4577, -818.0]","[-65.866, -9.67261, -702.5]","[-56.3672, -8.87487, -602.5]","[-55.9501, -8.83028, -598.0]","[-288.554, 9.19345, -2945.5]","[-248.313, 1.60457, -2548.5]","[-248.134, 1.47021, -2545.5]",,,,,,
26,8.061453640914698e+17,"[-160.585, -12.9051, -1502.0]","[-139.543, -10.0803, -1302.0]","[-118.443, -7.50313, -1102.0]","[-88.898, -4.51377, -822.5]","[-76.1765, -3.41226, -702.5]","[-65.5436, -2.62558, -602.5]","[-65.0248, -2.58117, -597.5]","[-33.5322, -0.852039, -302.504]","[-32.0298, -0.790165, -288.403]","[-308.878, -41.5473, -2945.5]","[-269.147, -32.825, -2548.5]","[-268.99, -32.808, -2545.5]",,,,,,,
27,4.954004257767424e+17,"[-104.326, -9.35313, -1502.0]","[-104.05, -9.39024, -1498.0]","[-90.0298, -9.46784, -1302.5]","[-75.7293, -9.09468, -1102.5]","[-65.7841, -8.56276, -962.5]","[-65.4673, -8.54411, -958.0]","[-55.8507, -7.88129, -822.5]","[-55.5356, -7.85661, -818.0]","[-47.4045, -7.11625, -702.5]","[-47.1171, -7.0696, -698.0]","[-40.4532, -6.36855, -602.5]","[-40.1247, -6.31646, -598.0]",,,,,,,
28,8.601911709600317e+17,"[-125.375, -3.97932, -1502.0]","[-108.62, -3.69538, -1302.0]","[-91.9221, -3.29729, -1102.5]","[-80.1925, -2.97756, -962.5]","[-68.4771, -2.65584, -822.5]","[-68.07, -2.64243, -817.5]","[-58.4302, -2.34873, -702.5]","[-58.0095, -2.33081, -697.5]","[-50.0806, -2.06063, -602.5]","[-49.6567, -2.03525, -597.5]","[-246.746, -4.67489, -2948.5]",,,,,,,,
29,1.0809869184322765e+17,"[-151.111, -2.55656, -1502.0]","[-130.908, -5.02616, -1302.0]","[-110.811, -6.39948, -1102.0]","[-96.7206, -6.98514, -962.5]","[-82.6585, -7.08214, -822.5]","[-70.6375, -6.93855, -702.5]","[-60.5228, -6.64404, -602.5]","[-60.0766, -6.58146, -598.0]","[-256.53, 22.4338, -2545.5]",,,,,,,,,,
30,7.025777596663071e+17,"[-109.751, -5.54959, -1502.0]","[-95.1712, -2.95114, -1302.5]","[-80.6019, -0.951887, -1102.5]","[-80.2384, -0.882284, -1097.5]","[-70.3169, 0.158486, -962.5]","[-69.9545, 0.214226, -957.5]","[-60.0532, 1.06657, -822.5]","[-59.6563, 1.109, -817.5]","[-51.1774, 1.56449, -702.5]","[-50.8181, 1.56697, -697.5]","[-43.6996, 1.90223, -602.5]","[-43.6789, 1.8734, -602.0]","[-43.3454, 1.88164, -597.5]",,,,,,
31,3.602905128102789e+17,"[-156.802, -23.4632, -1498.0]","[-136.47, -18.4058, -1298.0]","[-115.88, -13.8675, -1098.0]","[-87.1666, -8.59049, -822.5]","[-74.6152, -6.66362, -702.5]","[-64.0725, -5.21815, -602.5]","[-33.1324, -1.99544, -312.742]","[-32.0925, -1.90116, -303.029]","[-298.194, -72.9892, -2948.5]","[-259.692, -57.8946, -2545.5]",,,,,,,,,
32,5.809884037476516e+17,"[-128.673, -16.6113, -1498.0]","[-111.163, -16.1794, -1298.0]","[-94.2146, -15.1136, -1102.5]","[-93.84, -15.0987, -1098.0]","[-82.2175, -14.1192, -962.5]","[-81.8242, -14.0651, -958.0]","[-70.1863, -12.8213, -822.5]","[-69.7932, -12.7707, -818.0]","[-59.9057, -11.5608, -702.5]","[-59.5344, -11.4905, -698.0]","[-51.3921, -10.339, -602.5]","[-51.0321, -10.272, -598.0]","[-258.665, -6.41087, -2948.5]",,,,,,
33,1.081008908664832e+17,"[-94.1282, -22.5725, -1498.0]","[-81.2687, -21.4392, -1298.0]","[-68.4596, -19.8552, -1098.0]","[-68.7119, -19.8835, -1102.0]","[-59.5599, -18.387, -958.0]","[-59.8204, -18.4194, -962.0]","[-50.7351, -16.5769, -818.0]","[-50.9917, -16.6566, -822.0]","[-43.2301, -14.8265, -698.0]","[-43.48, -14.8981, -702.0]","[-36.9635, -13.2192, -598.0]","[-37.2288, -13.283, -602.0]","[-36.9424, -13.2264, -597.5]",,,,,,
34,7.250812579935683e+17,"[-82.6591, -17.0937, -1498.0]","[-71.4496, -15.3795, -1298.0]","[-60.3566, -13.5391, -1098.0]","[-52.8059, -12.1556, -962.5]","[-52.5551, -12.1289, -958.0]","[-45.0819, -10.6449, -822.5]","[-44.8276, -10.5822, -818.0]","[-45.0829, -10.6372, -822.0]","[-38.4716, -9.32218, -702.5]","[-38.2074, -9.24991, -698.0]","[-38.4532, -9.29818, -702.0]","[-32.9788, -8.13757, -602.5]","[-32.7011, -8.08224, -598.0]","[-32.9285, -8.14631, -602.0]",,,,,
35,5.4044020162166784e+17,"[-64.4816, -23.9908, -1498.0]","[-64.6898, -24.0082, -1502.0]","[-55.349, -21.6954, -1298.0]","[-55.5417, -21.7343, -1302.0]","[-46.4631, -19.0993, -1098.0]","[-46.6269, -19.1241, -1102.0]","[-46.4126, -19.0884, -1097.5]","[-40.3223, -17.0594, -958.0]","[-40.5061, -17.13, -962.0]","[-40.2888, -17.095, -957.5]","[-34.2934, -14.9435, -818.0]","[-34.4478, -14.9994, -822.0]","[-34.2483, -14.9315, -817.5]","[-29.1944, -13.0509, -698.0]","[-29.3632, -13.1638, -702.0]","[-29.1973, -13.0542, -697.5]",,,
36,8.602096564992737e+17,"[-72.4828, -24.0606, -1498.0]","[-72.6785, -24.1242, -1502.0]","[-62.7067, -20.9936, -1298.0]","[-62.9278, -21.0595, -1302.0]","[-52.9667, -17.884, -1098.0]","[-53.1444, -17.9271, -1102.0]","[-46.1604, -15.6329, -958.0]","[-46.3676, -15.7154, -962.0]","[-39.3424, -13.4304, -818.0]","[-39.5672, -13.4939, -822.0]","[-33.5174, -11.5177, -698.0]","[-33.7387, -11.5667, -702.0]","[-33.5243, -11.4836, -697.5]","[-28.6797, -9.8935, -598.0]","[-28.8756, -9.9312, -602.0]",,,,
37,2.253394105545523e+16,"[-95.1304, -20.8077, -1498.0]","[-82.0455, -18.9518, -1298.0]","[-69.1402, -16.7791, -1098.0]","[-60.1444, -15.1336, -958.0]","[-51.111, -13.3248, -818.0]","[-51.3775, -13.3527, -822.0]","[-43.676, -11.738, -702.5]","[-43.3952, -11.6781, -698.0]","[-43.6583, -11.7248, -702.0]","[-37.2707, -10.2809, -602.5]","[-36.9841, -10.2417, -598.0]","[-37.261, -10.2656, -602.0]",,,,,,,
38,7.160742648972575e+17,"[-93.5346, -22.6356, -1498.0]","[-80.9865, -20.4459, -1298.0]","[-68.4649, -17.9539, -1098.0]","[-59.6989, -16.1065, -958.0]","[-59.9676, -16.1532, -962.0]","[-50.8776, -14.0915, -818.0]","[-51.1388, -14.1198, -822.0]","[-43.3332, -12.2288, -698.0]","[-43.6037, -12.2975, -702.0]","[-37.0665, -10.6215, -598.0]","[-37.3262, -10.6714, -602.0]",,,,,,,,
39,6.71044659534889e+17,"[-89.6187, -16.2963, -1498.0]","[-77.3609, -15.3075, -1298.0]","[-65.1417, -13.9166, -1098.0]","[-56.8278, -12.6727, -962.5]","[-56.5481, -12.6247, -958.0]","[-48.3069, -11.2498, -822.5]","[-48.035, -11.1979, -818.0]","[-48.2889, -11.2616, -822.0]","[-41.0236, -9.87411, -702.5]","[-40.7537, -9.86124, -698.0]","[-41.0145, -9.87619, -702.0]","[-34.9631, -8.69498, -602.5]","[-34.6612, -8.65566, -598.0]","[-34.925, -8.70268, -602.0]",,,,,
40,8.601910335210783e+17,"[-59.7436, -22.1848, -1498.0]","[-59.9361, -22.2557, -1502.0]","[-51.5933, -19.5082, -1298.0]","[-51.7491, -19.5396, -1302.0]","[-43.4663, -16.7344, -1098.0]","[-43.6266, -16.7989, -1102.0]","[-37.8086, -14.759, -958.0]","[-37.9534, -14.8278, -962.0]","[-37.7932, -14.7447, -957.5]","[-32.1626, -12.7351, -818.0]","[-32.3277, -12.7682, -822.0]","[-32.1783, -12.7112, -817.5]",,,,,,,
41,9.908042875273216e+16,"[-71.4582, -22.7862, -1498.0]","[-71.6335, -22.8254, -1502.0]","[-62.1315, -19.4672, -1298.0]","[-62.3477, -19.5203, -1302.0]","[-52.7466, -16.2885, -1098.0]","[-52.9526, -16.3323, -1102.0]","[-46.1277, -14.0824, -958.0]","[-46.3172, -14.125, -962.0]","[-39.4855, -11.8707, -818.0]","[-39.6817, -11.9177, -822.0]","[-33.7927, -10.0412, -698.0]","[-33.9818, -10.0979, -702.0]","[-29.0447, -8.59278, -598.0]","[-29.2364, -8.61938, -602.0]",,,,,
42,5.314306659047178e+17,"[-52.6935, -13.9618, -1498.0]","[-52.8208, -14.0047, -1502.0]","[-45.9089, -11.7131, -1302.5]","[-45.7778, -11.6845, -1298.0]","[-45.9064, -11.736, -1302.0]","[-38.9606, -9.56128, -1102.5]","[-38.7724, -9.53982, -1098.0]","[-38.9252, -9.54783, -1102.0]","[-34.0482, -8.17158, -962.5]","[-33.8534, -8.10178, -958.0]","[-33.995, -8.1551, -962.0]",,,,,,,,
43,4511914684055552.0,"[-83.9784, -16.1763, -1498.0]","[-73.0686, -14.1515, -1302.5]","[-72.8015, -14.0586, -1298.0]","[-61.901, -12.0187, -1102.5]","[-61.6392, -11.9958, -1098.0]","[-54.0744, -10.5502, -962.5]","[-53.8186, -10.5296, -958.0]","[-46.2768, -9.08384, -822.5]","[-46.0273, -9.01906, -818.0]","[-39.6065, -7.80655, -702.5]","[-39.38, -7.73171, -698.0]","[-39.5684, -7.78166, -702.0]","[-34.0498, -6.71722, -602.5]","[-33.7974, -6.64854, -598.0]","[-34.0266, -6.70695, -602.0]",,,,
44,9.007865833665331e+16,"[-84.1353, -25.1612, -1498.0]","[-73.0117, -21.6165, -1298.0]","[-73.2191, -21.6963, -1302.0]","[-61.81, -18.1559, -1098.0]","[-62.022, -18.2489, -1102.0]","[-53.9959, -15.7657, -958.0]","[-54.1996, -15.8205, -962.0]","[-46.1327, -13.4151, -818.0]","[-46.3453, -13.4872, -822.0]","[-39.4264, -11.3937, -698.0]","[-39.627, -11.4621, -702.0]","[-34.0166, -9.78763, -602.0]",,,,,,,
45,3.603216427332403e+16,"[-67.5578, -24.5751, -1498.0]","[-67.7342, -24.6198, -1502.0]","[-58.4193, -21.9183, -1298.0]","[-58.5932, -21.97, -1302.0]","[-49.3041, -19.1643, -1098.0]","[-49.4602, -19.1857, -1102.0]","[-42.9758, -17.0794, -958.0]","[-43.1234, -17.1317, -962.0]","[-42.9161, -17.063, -957.5]","[-36.633, -14.8367, -818.0]","[-36.8053, -14.8935, -822.0]","[-36.6383, -14.7993, -817.5]","[-31.2057, -12.8653, -698.0]","[-31.3569, -12.9073, -702.0]","[-31.1672, -12.854, -697.5]",,,,
46,7.521152939830804e+17,"[-71.8597, -17.7405, -1498.0]","[-62.2492, -15.7417, -1298.0]","[-52.6424, -13.6925, -1098.0]","[-52.8125, -13.7307, -1102.0]","[-45.8915, -12.1745, -958.0]","[-46.0843, -12.1885, -962.0]","[-39.3829, -10.6478, -822.5]","[-39.1696, -10.6122, -818.0]","[-39.356, -10.6463, -822.0]","[-33.6815, -9.24612, -702.5]","[-33.4756, -9.19374, -698.0]","[-33.6589, -9.26061, -702.0]",,,,,,,
47,6.169967223625482e+17,"[-93.9015, -28.0949, -1498.0]","[-82.36, -22.6267, -1298.0]","[-70.512, -17.5712, -1098.0]","[-62.0408, -14.3033, -958.0]","[-53.6577, -11.37, -822.5]","[-53.3901, -11.3009, -818.0]","[-46.1047, -9.12045, -702.5]","[-45.8378, -9.02498, -698.0]","[-39.8061, -7.42103, -602.5]","[-39.5281, -7.35589, -598.0]",,,,,,,,,
48,7.971403638599844e+17,"[-52.5311, -19.9391, -1498.0]","[-52.6525, -19.9964, -1502.0]","[-45.8919, -16.7511, -1298.0]","[-46.0346, -16.8222, -1302.0]","[-39.1513, -13.7444, -1098.0]","[-39.2665, -13.8023, -1102.0]","[-34.3177, -11.7099, -958.0]","[-34.4526, -11.7542, -962.0]","[-34.3003, -11.7246, -957.5]","[-29.4608, -9.7725, -818.0]","[-29.6175, -9.80552, -822.0]","[-29.4456, -9.74653, -817.5]",,,,,,,
49,5.0441085484689e+17,"[-62.0249, -22.3211, -1498.0]","[-62.1663, -22.3677, -1502.0]","[-53.7893, -19.2127, -1298.0]","[-53.9432, -19.2321, -1302.0]","[-45.5369, -16.1002, -1098.0]","[-45.7023, -16.1975, -1102.0]","[-39.7843, -13.9993, -958.0]","[-39.942, -14.0821, -962.0]","[-33.9859, -11.8873, -818.0]","[-34.1487, -11.953, -822.0]","[-33.9554, -11.9237, -817.5]","[-29.0276, -10.1313, -698.0]","[-29.2012, -10.1743, -702.0]","[-29.0125, -10.1262, -697.5]",,,,,
50,8.106604398714552e+17,"[-98.0783, -19.6128, -1498.0]","[-85.0607, -16.4876, -1298.0]","[-72.2773, -13.5375, -1102.5]","[-72.0197, -13.4596, -1098.0]","[-62.8272, -11.5097, -958.0]","[-53.9632, -9.63862, -822.5]","[-53.6663, -9.56751, -818.0]","[-46.0749, -8.06486, -702.5]","[-45.7978, -7.98695, -698.0]","[-39.5167, -6.7964, -602.5]","[-39.2189, -6.71604, -598.0]",,,,,,,,
51,4521879008182272.0,"[-82.7546, -27.2979, -1498.0]","[-82.9489, -27.4042, -1502.0]","[-72.0132, -23.1251, -1298.0]","[-72.2505, -23.1892, -1302.0]","[-61.2251, -19.0439, -1098.0]","[-61.4233, -19.1374, -1102.0]","[-53.5823, -16.2835, -958.0]","[-53.7949, -16.3565, -962.0]","[-45.9476, -13.6278, -818.0]","[-46.1912, -13.694, -822.0]","[-39.3391, -11.3728, -698.0]","[-39.575, -11.4405, -702.0]","[-34.1025, -9.63204, -602.5]","[-33.8431, -9.5905, -598.0]","[-34.05, -9.63912, -602.0]",,,,
52,4.233405639960822e+17,"[-68.2078, -22.1087, -1498.0]","[-68.3877, -22.1845, -1502.0]","[-58.5892, -20.0565, -1298.0]","[-58.8036, -20.1089, -1302.0]","[-49.1386, -17.6848, -1098.0]","[-49.3209, -17.7505, -1102.0]","[-42.6335, -15.866, -958.0]","[-42.7971, -15.9141, -962.0]","[-36.1751, -13.8526, -818.0]","[-36.3456, -13.9454, -822.0]","[-36.1583, -13.8601, -817.5]","[-30.9109, -12.0731, -702.0]","[-30.698, -12.0208, -697.5]",,,,,,
